자치구,2018,2019,2020,2021,2022
종로구,10213,9955,11675,15535,17064
중구,3228,3618,6865,11434,6990
용산구,2326,1310,1398,1042,977
성동구,214,226,811,1546,1140
광진구,4849,3810,2787,3749,2532
동대문구,3150,6699,4666,6001,3304
중랑구,11744,10738,6043,7194,4270
성북구,546,764,674,399,1445
강북구,9046,9966,9747,5522,2827
도봉구,170,761,1295,782,672
노원구,1593,3461,3707,1735,2587
은평구,3194,3113,3552,4386,4758
서대문구,1142,3088,2521,2522,1644
마포구,4714,4017,4113,4709,4674
양천구,555,1647,1397,1504,1366
강서구,765,1006,362,402,507
구로구,4582,5328,2772,6637,4891
금천구,3308,5842,2228,3926,2709
영등포구,3715,3950,5325,2808,2779
동작구,1408,1964,2727,1606,1643
관악구,4164,4732,6151,5908,3924
서초구,5632,10522,11031,9655,11224
강남구,26305,18059,22467,22540,16987
송파구,7232,7265,5548,7063,6343
강동구,6793,10784,8282,9277,10496
